Day;Type;F0;Fj;Fm;FI;F300mks;F50mks;t(Fm);Vj;VI;phi P0 (Fv/Fm);phi E0;phi R0;phi D0;psi E0;dalta R0;M0;ABS/RC;TR0/RC;DI0/RC;ET0/RC;RE0/RC;RC/CS0;Am;SM;SS;N;Vav
5;K;0.687;1.286;1.847;1.736;1.158;0.759;147;0.51637931;0.904310345;0.628045479;0.303735788;0.060097455;0.371954521;0.48362069;0.197860963;1.624137931;5.007984572;3.14524207;1.862742502;1.521104139;0.300967129;0.137180934;32.214;27.77068966;0.317940552;87.34554142;0.811083744
5;K;0.727;1.5;2.455;2.309;1.264;0.803;127;0.447337963;0.915509259;0.703869654;0.389002037;0.059470468;0.296130346;0.552662037;0.152879581;1.243055556;3.947867256;2.778783959;1.169083297;1.535728403;0.234781515;0.184150062;38.091;22.04340278;0.359869646;61.25385403;0.826429899
5;K;0.75;1.541;2.816;2.476;1.401;0.84;172;0.38286544;0.835430784;0.733664773;0.452769886;0.120738636;0.266335227;0.61713456;0.266666667;1.260406583;4.487111172;3.292035398;1.195075774;2.031628815;0.541767684;0.167145402;9.272;4.487899322;0.303763441;14.77432343;0.973907562
5;K;0.752;1.534;2.725;2.313;1.355;0.835;216;0.396350735;0.791180943;0.724036697;0.43706422;0.151192661;0.275963303;0.603649265;0.345927792;1.222503801;4.260003655;3.084398977;1.175604679;1.861895176;0.644081287;0.17652567;39.04;19.7871262;0.324212272;61.03139182;0.908392934
5;K;0.682;1.298;1.897;1.776;1.142;0.747;161;0.506995885;0.900411523;0.640484976;0.315761729;0.063784924;0.359515024;0.493004115;0.202003339;1.514403292;4.663673775;2.987012987;1.676660788;1.472609695;0.297472075;0.146236644;10.785;8.87654321;0.334782609;26.51434985;0.944866191
5;Fe-;0.634;1.277;1.897;1.661;1.23;0.737;144;0.509105305;0.81314331;0.665788086;0.32683184;0.124406958;0.334211914;0.490894695;0.380645161;1.887569279;5.568769709;3.707620529;1.861149181;1.820051249;0.692793701;0.113849204;14.092;11.15756136;0.269714765;41.36800356;0.922516935
5;Fe-;0.695;1.431;1.984;1.761;1.355;0.802;163;0.57098526;0.826997673;0.649697581;0.278729839;0.112399194;0.350302419;0.42901474;0.403254973;2.048099302;5.520963335;3.586956522;1.934006814;1.53885722;0.620551826;0.125883828;11.295;8.762606672;0.278787879;31.43108915;0.946241677
5;Fe-;0.65;1.42;2.143;1.942;1.302;0.749;140;0.515740121;0.865371735;0.696686888;0.337377508;0.093793747;0.303313112;0.484259879;0.278008299;1.746818486;4.861600021;3.387012987;1.474587034;1.640194501;0.455987683;0.133700839;16.951;11.35365037;0.295245399;38.45496125;0.918902497
5;Fe-;0.69;1.49;2.034;1.865;1.374;0.775;125;0.595238095;0.874255952;0.660766962;0.267453294;0.083087512;0.339233038;0.404761905;0.310661765;2.035714286;5.175803571;3.42;1.755803571;1.384285714;0.430044643;0.133312633;10.688;7.952380952;0.292397661;27.19714286;0.936380952
5;Fe+N-;0.695;1.317;1.891;1.782;1.211;0.786;180;0.52006689;0.908862876;0.632469593;0.303543099;0.05764146;0.367530407;0.47993311;0.18989547;1.725752508;5.246620568;3.318327974;1.928292594;1.592575466;0.302422867;0.132466221;10.053;8.405518395;0.301356589;27.89226683;0.953302676
